Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
Kuro,1.1,191.0,1.1,131.0,24.0,20.0,Fraggerz,48.7,76.9,62.9,57.7,65.9
Kuzuur,,275.5,1.3,175.8,34.5,0.0,Cyber Skull Esports,99.0,93.3,99.2,97.9,99.7
Kyojin,1.0,220.6,1.2,134.9,28.6,16.1,Exceeli Esports,79.5,86.5,69.8,84.9,89.9
Kz1,0.8,199.7,0.8,128.3,25.0,10.3,SE Necrosis,58.5,23.5,58.0,64.8,52.0
L0sttt,1.2,263.0,1.4,160.8,22.2,9.8,Reckoning Esports,97.7,96.8,96.8,44.1,93.3
L1NK,1.0,183.1,1.1,114.9,30.1,13.1,Team Liquid,38.8,77.1,32.9,90.0,63.6
LAMMYSNAX,1.0,194.6,1.1,129.7,23.6,16.8,FULL SENSE,52.2,79.7,60.6,54.7,66.1
LEW,0.8,193.0,0.7,133.7,19.7,0.0,Dire Wolves,50.6,19.2,68.1,26.0,35.7
LEXY,,237.0,1.1,145.2,15.7,19.0,Team SMG,89.8,73.3,85.4,6.9,69.8
LOB,1.0,202.0,0.9,134.2,22.0,11.8,SCARZ,61.1,50.0,69.0,42.3,57.3
Laden,1.2,241.0,1.2,149.0,26.0,14.0,Trained To Kill,91.8,89.5,88.5,72.4,94.6
Lakia,1.0,210.0,1.1,133.5,26.8,13.6,Vision Strikers,70.1,69.1,67.6,77.1,79.6
Lawrence,,224.7,1.1,140.6,22.8,0.0,GoNGo Prince,82.7,76.5,77.8,48.4,80.1
Laz,1.1,237.8,1.3,148.4,32.2,16.4,ZETA DIVISION,90.2,91.9,88.3,95.4,98.1
Lazim,0.9,197.7,1.0,125.0,23.7,0.0,Team EthereaL,55.8,60.1,51.6,55.2,57.5
Lee,,213.6,1.0,143.7,15.0,0.0,One Breath Gaming,73.9,65.0,83.3,5.2,59.4
Leo,1.3,244.4,1.4,156.4,22.0,31.8,Guild Esports,92.8,96.9,94.3,41.4,91.5
Less,0.9,196.2,0.9,123.6,16.9,4.0,Jaguares Esports,54.1,44.1,48.7,11.6,34.6
LeviathanAG,0.7,149.9,0.6,97.0,24.7,16.3,TSM,10.3,10.9,10.4,62.1,14.4
Lightning,,178.5,0.9,112.5,23.8,20.2,One Breath Gaming,33.9,42.3,28.6,56.0,35.0
Lightningfast,1.0,199.2,1.2,127.5,32.1,19.9,Global Esports,57.6,83.0,56.3,95.1,82.9
LilB,0.8,186.3,0.8,116.0,17.0,15.0,Ben10,42.5,21.3,34.9,12.4,19.2
Lmemore,1.2,231.1,1.3,145.7,35.8,9.1,Alter Ego,87.2,92.5,86.0,98.6,97.8
Louda,1.0,230.0,0.8,153.0,27.0,0.0,Elementals,86.3,35.2,92.0,78.9,83.0
LuffysaN,0.8,146.7,0.7,92.0,25.0,14.0,Team 69,8.4,19.6,6.7,64.8,16.0
Lunatic,0.8,148.5,0.8,98.8,20.9,5.4,Exceeli Esports,9.5,28.7,11.9,34.2,11.3
Lyhnj,0.9,179.6,0.8,119.0,30.9,13.9,Team Majesty,35.2,29.7,39.7,92.3,49.0
M1ST,0.7,168.0,0.7,106.8,28.8,0.0,Dire Wolves,23.0,17.8,20.7,86.1,30.2
M1SYL,1.2,250.9,1.4,149.7,22.1,11.3,Exceeli Esports,95.0,95.1,89.5,43.4,90.4
M1kE,0.9,169.2,0.9,120.4,28.0,25.2,Legacy Esports,24.3,36.6,42.3,82.6,44.4
M3hra6,1.1,190.0,1.0,122.0,21.0,33.0,Insurgent Esports,47.4,60.1,46.0,35.4,45.6
M7MD,1.2,217.0,1.2,137.4,27.8,5.0,SCYTES,76.8,87.4,73.6,81.7,89.6
MACHINERIS,,216.8,1.0,142.4,32.5,20.9,RARE Esports,76.5,65.4,80.9,95.9,89.4
MAGNUM,1.0,206.6,1.1,130.5,26.6,20.7,FNATIC,65.6,71.4,62.1,75.8,76.0
MEGATRON,0.7,149.0,0.6,97.3,25.7,5.3,Lethal Esports,9.9,9.2,10.5,69.7,15.9
MOJJ,0.9,198.0,1.1,133.5,32.3,12.6,FUT Esports,56.0,69.3,67.6,95.7,81.5
MORFAN,,170.4,0.7,108.4,25.4,7.0,Ballista,25.3,11.9,23.0,68.2,24.3
MSK,0.8,139.4,0.8,92.7,25.5,7.3,Team Arrow,5.6,21.3,7.1,68.5,16.6
MT1,0.7,184.8,0.9,112.3,21.2,19.1,Meta Gaming,41.0,43.5,28.2,36.5,31.2
MUSAB,0.8,201.8,0.8,122.2,27.2,15.2,MAXD Esports,60.8,34.6,46.6,80.1,57.1
MaKo,1.1,194.2,1.2,133.4,26.9,4.2,Vision Strikers,51.9,85.8,67.5,77.6,78.6
Maaatrix,1.0,173.2,1.0,120.6,28.0,24.0,La7zag Esports,28.9,54.4,42.8,82.6,53.4
MadClownyt,0.5,142.0,0.5,91.0,15.0,0.0,xCeed,6.3,2.3,6.2,5.2,1.5
